Source,Target,Weight
soybean-oil,sugar-high-fructose-corn-syrup,1
soybean-oil,vitamin-b,1
soybean-oil-hydrogenated-soybean-oil,vital-wheat-gluten,1
soybean-oil-palm-olein,spices,1
soybean-palm-canola-corn-oil,thiamine-mononitrate-vitamin-b,1
soybean-sunflower,wheat-flour,1
soybean,vegetable-oil-may-contain-one-more-of-the-following-corn,1
spice,wheat-semolina,1
spice,yellow,1
spice,zinc,1
spice-extractives,vitamin-b,1
spice-mix-sea-salt,yellow-yellow,1
spices,sulfiting-agents,1
spices-tumeric,vegan-mayo,1
stevia,strawberry-juice-from-concentrate,1
stevia,sunflower-oil,1
stevia-extract,wheat-flour-niacin,1
stevia-leaf-sweetener,wheat-gluten,1
sugar,sunflower-lecithin-emulsifier,1
sugar,vitb,1
sunflower-lecithin,vanilla-flavoring,1
sunflower-m,vanillin,1
sunflower-oil,yellow,1
sunflower-oil-extra-virgin-olive,walnuts,1
sunflower-oil,yeast,1
sunflower-seeds,torula-yeast,1
supreme-protein-bled,zinc-oxide,1
sweet-cream-butter-milk-solids,vitamin-palmitate,1
sweet-relish-cucumbers,textured-pea-protein-pea-protein,1
tapioca-dextrin,yeast-extract,1
tapioca-syrup,turmeric,1
tapioca-syrup,vitamin-b,1
the-following-soybean-oil,wheat-starch,1
thiamin,vit-b,1
thiamine-mononitrate,wheat-flour-wheat-flour,1
thiamine-mononitrate,wheat-flourflour,1
thiamine-mononitrate,whey-pecan-pieces,1
tocopherols,xanthan-gum,1
tomato-powder,vegetable-oil,1
torula-yeast,yellow-corn-flour,1
turmeric,wheat-flour-enzymes,1
turmeric,whey-leavening,1
unbromated-wheat-flour-flour,wheat-gluten,1
unsweetened-chocolate,walnuts,1
vanilla-extract,vitamin,1
vegetable-oil-may-contain-one-more-of-the-following-canola,yeast,1
vegetable-oil-palm,wheat-flour,1
vegetable-puree-extracts,yellow,1
vegetable-shortening-soybean-oil,whipped-cream-cheese-spread,1
virginia-style-ham,yeast,1
vit-b,vitamin-e,1
vitalwheat-gluten,wheat-flour,1
vitamin-b,yeast-food,1
vitamin-b,vitamin-k,1
vitamin-c-palmitate-antioxidants,wheat-gluten,1
vitamin-mix,whey-protein-concentrate,1
vitamin-palmitate,walnuts,1
water-process-jack-american-cheese-peppers-product,wheat-flour-niacin,1
wheat-flour,wildflower-honey,1
wheat-flour-wheat-flour,white-chicken,1
